"photo-13279251_310050414";"http://cs302703.vk.me/v302703826/6d54/uJICbGIDl2E.jpg";"Ботинки Timberland<br/>Цена: 1500 грн.<br/>Размеры: 36-46<br/>Материал: нубук, подошва полиуретан<br/>Сезон: демисезонные <br/>Унисекс<br/>TB10001 <br/>Рыжий";"Ботинки Timberland";1500;;" 36-46";"Рыжий";"<h1>Ботинки Timberland</h1><br/><b>Материал:</b> нубук, подошва полиуретан<br/><b>Сезон:</b> демисезонные <br/>Унисекс<br/>TB10001 <br/>";"Missing ID;"
"photo-13279251_310050419";"http://cs302703.vk.me/v302703826/6d5c/HKH1MslvDwg.jpg";"Ботинки Timberland<br/>Цена: 1500 грн.<br/>Размеры: 36-46<br/>Материал: нубук, подошва полиуретан<br/>Сезон: демисезонные <br/>Унисекс<br/>TB10001 <br/>Рыжий";"Ботинки Timberland";1500;;" 36-46";"Рыжий";"<h1>Ботинки Timberland</h1><br/><b>Материал:</b> нубук, подошва полиуретан<br/><b>Сезон:</b> демисезонные <br/>Унисекс<br/>TB10001 <br/>";"Missing ID;"
"photo-13279251_310050424";"http://cs302703.vk.me/v302703826/6d64/P4cQOSMzoOc.jpg";"Ботинки Timberland<br/>Цена: 1500 грн.<br/>Размеры: 36-46<br/>Материал: нубук, подошва полиуретан<br/>Сезон: демисезонные <br/>Унисекс<br/>TB10001 <br/>Рыжий";"Ботинки Timberland";1500;;" 36-46";"Рыжий";"<h1>Ботинки Timberland</h1><br/><b>Материал:</b> нубук, подошва полиуретан<br/><b>Сезон:</b> демисезонные <br/>Унисекс<br/>TB10001 <br/>";"Missing ID;"
"photo-13279251_310050427";"http://cs302703.vk.me/v302703826/6d6c/LK1YfLl5ECw.jpg";"Ботинки Timberland<br/>Цена: 1500 грн.<br/>Размеры: 36-46<br/>Материал: нубук, подошва полиуретан<br/>Сезон: демисезонные <br/>Унисекс<br/>TB10001 <br/>Коричневый";"Ботинки Timberland";1500;;" 36-46";"Коричневый";"<h1>Ботинки Timberland</h1><br/><b>Материал:</b> нубук, подошва полиуретан<br/><b>Сезон:</b> демисезонные <br/>Унисекс<br/>TB10001 <br/>";"Missing ID;"
"photo-13279251_310050431";"http://cs302703.vk.me/v302703826/6d74/XaYBdtOUXJ8.jpg";"Ботинки Timberland<br/>Цена: 1500 грн.<br/>Размеры: 36-46<br/>Материал: нубук, подошва полиуретан<br/>Сезон: демисезонные <br/>Унисекс<br/>TB10001 <br/>Коричневый";"Ботинки Timberland";1500;;" 36-46";"Коричневый";"<h1>Ботинки Timberland</h1><br/><b>Материал:</b> нубук, подошва полиуретан<br/><b>Сезон:</b> демисезонные <br/>Унисекс<br/>TB10001 <br/>";"Missing ID;"
"photo-13279251_314439801";"http://cs411426.vk.me/v411426826/cab1/5-BkjBn8Yg0.jpg";"Timberland<br/>Цена: 1230 грн., на меху цена: 1400 грн<br/>Акц. цена: без меха 1049 грн., с мехом 1120 грн.<br/>Размеры: 35 - 47<br/>Материал: натуральный нубук<br/><br/>TB10001 без меха <br/>TB10004 с мехом";"Timberland";1230;;" 35 - 47";"TB10004 с мехом";"<h1>Timberland</h1><br/><b>Акц. цена:</b> без меха 1049 грн., с мехом 1120 грн.<br/><b>Материал:</b> натуральный нубук<br/><br/>TB10001 без меха <br/>";"Missing ID;"
"photo-13279251_310050433";"http://cs302703.vk.me/v302703826/6d7c/ieqiPEED1DI.jpg";"Ботинки Timberland<br/>Цена: 1500 грн.<br/>Размеры: 36-46<br/>Материал: нубук, подошва полиуретан<br/>Сезон: демисезонные <br/>Унисекс<br/>TB10001 <br/>Черный";"Ботинки Timberland";1500;;" 36-46";"Черный";"<h1>Ботинки Timberland</h1><br/><b>Материал:</b> нубук, подошва полиуретан<br/><b>Сезон:</b> демисезонные <br/>Унисекс<br/>TB10001 <br/>";"Missing ID;"
"photo-13279251_310050435";"http://cs302703.vk.me/v302703826/6d84/x5a2of86gAI.jpg";"Ботинки Timberland<br/>Цена: 1500 грн.<br/>Размеры: 36-46<br/>Материал: нубук, подошва полиуретан<br/>Сезон: демисезонные <br/>Унисекс<br/>TB10001 <br/>Черный";"Ботинки Timberland";1500;;" 36-46";"Черный";"<h1>Ботинки Timberland</h1><br/><b>Материал:</b> нубук, подошва полиуретан<br/><b>Сезон:</b> демисезонные <br/>Унисекс<br/>TB10001 <br/>";"Missing ID;"
"photo-13279251_314439800";"http://cs411426.vk.me/v411426826/caa8/Ism5dQ6tj_4.jpg";"Timberland<br/>Цена: 1230 грн., на меху цена: 1400 грн<br/>Акц. цена: без меха 1049 грн., с мехом 1120 грн.<br/>Размеры: 35 - 47<br/>Материал: натуральный нубук<br/><br/>TB10001 без меха <br/>TB10004 с мехом";"Timberland";1230;;" 35 - 47";"TB10004 с мехом";"<h1>Timberland</h1><br/><b>Акц. цена:</b> без меха 1049 грн., с мехом 1120 грн.<br/><b>Материал:</b> натуральный нубук<br/><br/>TB10001 без меха <br/>";"Missing ID;"
"photo-13279251_310050437";"http://cs302703.vk.me/v302703826/6d8c/-IGJP-nE174.jpg";"Ботинки Timberland<br/>Цена: 1500 грн.<br/>Размеры: 36-46<br/>Материал: нубук, подошва полиуретан<br/>Сезон: демисезонные <br/>Унисекс<br/>TB10001 <br/>Черный+Белый";"Ботинки Timberland";1500;;" 36-46";"Черный+Белый";"<h1>Ботинки Timberland</h1><br/><b>Материал:</b> нубук, подошва полиуретан<br/><b>Сезон:</b> демисезонные <br/>Унисекс<br/>TB10001 <br/>";"Missing ID;"
"photo-13279251_310050440";"http://cs302703.vk.me/v302703826/6d94/ejZm5yXKpME.jpg";"Ботинки Timberland<br/>Цена: 1500 грн.<br/>Размеры: 36-46<br/>Материал: нубук, подошва полиуретан<br/>Сезон: демисезонные <br/>Унисекс<br/>TB10001 <br/>Черный+Белый";"Ботинки Timberland";1500;;" 36-46";"Черный+Белый";"<h1>Ботинки Timberland</h1><br/><b>Материал:</b> нубук, подошва полиуретан<br/><b>Сезон:</b> демисезонные <br/>Унисекс<br/>TB10001 <br/>";"Missing ID;"
