"photo-13279251_310420416";"http://cs408520.vk.me/v408520826/3869/R4Q0mvQdikY.jpg";"Свитшот 3D с котиком<br/>Цена: 545 грн.<br/>Размеры: S, M, L, XL<br/>Материал: хлопок<br/>Унисекс<br/>SW10001";"Свитшот 3D с котиком";545;"SW10001";" S, M, L, XL";;"<h1>Свитшот 3D с котиком</h1><br/><b>Материал:</b> хлопок<br/>Унисекс<br/>";"Missing colour;"
"photo-13279251_310420417";"http://cs408520.vk.me/v408520826/3871/hqitn9QMp78.jpg";"Свитшот 3D с крабом<br/>Цена: 545 грн.<br/>Размеры: S, M, L, XL<br/>Материал: хлопок<br/>Унисекс<br/>SW10002";"Свитшот 3D с крабом";545;"SW10002";" S, M, L, XL";;"<h1>Свитшот 3D с крабом</h1><br/><b>Материал:</b> хлопок<br/>Унисекс<br/>";"Missing colour;"
"photo-13279251_310420418";"http://cs408520.vk.me/v408520826/3879/HNBVqfoK4sw.jpg";"Свитшот 3D с ракушками<br/>Цена: 545 грн.<br/>Размеры: S, M, L, XL<br/>Материал: хлопок<br/>Унисекс<br/>SW10003";"Свитшот 3D с ракушками";545;"SW10003";" S, M, L, XL";;"<h1>Свитшот 3D с ракушками</h1><br/><b>Материал:</b> хлопок<br/>Унисекс<br/>";"Missing colour;"
"photo-13279251_310420419";"http://cs408520.vk.me/v408520826/3881/Zywz5KO_i8s.jpg";"Свитшот 3D с мордашкой<br/>Цена: 545 грн.<br/>Размеры: S, M, L, XL<br/>Материал: хлопок<br/>Унисекс<br/>SW10004";"Свитшот 3D с мордашкой";545;"SW10004";" S, M, L, XL";;"<h1>Свитшот 3D с мордашкой</h1><br/><b>Материал:</b> хлопок<br/>Унисекс<br/>";"Missing colour;"
"photo-13279251_310420420";"http://cs408520.vk.me/v408520826/3889/3Rfi_y2Os5c.jpg";"Свитшот 3D с фонтаном<br/>Цена: 545 грн.<br/>Размеры: S, M, L, XL<br/>Материал: хлопок<br/>Унисекс<br/>SW10005";"Свитшот 3D с фонтаном";545;"SW10005";" S, M, L, XL";;"<h1>Свитшот 3D с фонтаном</h1><br/><b>Материал:</b> хлопок<br/>Унисекс<br/>";"Missing colour;"
"photo-13279251_310420421";"http://cs408520.vk.me/v408520826/3891/-EkDB1-Zb1k.jpg";"Свитшот 3D с хомячком<br/>Цена: 545 грн.<br/>Размеры: S, M, L, XL<br/>Материал: хлопок<br/>Унисекс<br/>SW10006";"Свитшот 3D с хомячком";545;"SW10006";" S, M, L, XL";;"<h1>Свитшот 3D с хомячком</h1><br/><b>Материал:</b> хлопок<br/>Унисекс<br/>";"Missing colour;"
"photo-13279251_310420422";"http://cs408520.vk.me/v408520826/3899/68rjs9kNoco.jpg";"Свитшот 3D с кексами<br/>Цена: 545 грн.<br/>Размеры: S, M, L, XL<br/>Материал: хлопок<br/>Унисекс<br/>SW10007";"Свитшот 3D с кексами";545;"SW10007";" S, M, L, XL";;"<h1>Свитшот 3D с кексами</h1><br/><b>Материал:</b> хлопок<br/>Унисекс<br/>";"Missing colour;"
"photo-13279251_310420423";"http://cs408520.vk.me/v408520826/38a1/SeeB9kknOv8.jpg";"Свитшот картина 3D <br/>Цена: 545 грн.<br/>Размеры: S, M, L, XL<br/>Материал: хлопок<br/>Унисекс<br/>SW10008";"Свитшот картина 3D ";545;"SW10008";" S, M, L, XL";;"<h1>Свитшот картина 3D </h1><br/><b>Материал:</b> хлопок<br/>Унисекс<br/>";"Missing colour;"
"photo-13279251_310420424";"http://cs408520.vk.me/v408520826/38a9/n-ad1_HDTik.jpg";"Свитшот с 3D леопардом<br/>Цена: 545 грн.<br/>Размеры: S, M, L, XL<br/>Материал: хлопок<br/>Унисекс<br/>SW10009";"Свитшот с 3D леопардом";545;"SW10009";" S, M, L, XL";;"<h1>Свитшот с 3D леопардом</h1><br/><b>Материал:</b> хлопок<br/>Унисекс<br/>";"Missing colour;"
"photo-13279251_310420425";"http://cs408520.vk.me/v408520826/38b1/DIJ1C4fI06A.jpg";"Свитшот 3D с ангелом<br/>Цена: 545 грн.<br/>Размеры: S, M, L, XL<br/>Материал: хлопок<br/>Унисекс<br/>SW10010";"Свитшот 3D с ангелом";545;"SW10010";" S, M, L, XL";;"<h1>Свитшот 3D с ангелом</h1><br/><b>Материал:</b> хлопок<br/>Унисекс<br/>";"Missing colour;"
"photo-13279251_310420426";"http://cs408520.vk.me/v408520826/38b9/UcLmZGVLZoI.jpg";"Свитшот 3D чай<br/>Цена: 545 грн.<br/>Размеры: S, M, L, XL<br/>Материал: хлопок<br/>Унисекс<br/>SW10011";"Свитшот 3D чай";545;"SW10011";" S, M, L, XL";;"<h1>Свитшот 3D чай</h1><br/><b>Материал:</b> хлопок<br/>Унисекс<br/>";"Missing colour;"
"photo-13279251_310420427";"http://cs408520.vk.me/v408520826/38c1/hNPyIoqzAqU.jpg";"Свитшот 3D с бургером<br/>Цена: 545 грн.<br/>Размеры: S, M, L, XL<br/>Материал: хлопок<br/>Унисекс<br/>SW10012";"Свитшот 3D с бургером";545;"SW10012";" S, M, L, XL";;"<h1>Свитшот 3D с бургером</h1><br/><b>Материал:</b> хлопок<br/>Унисекс<br/>";"Missing colour;"
