"photo-13279251_275685086";"http://cs5984.vk.me/u17510826/150217032/x_e673f85c.jpg";"Цена: 140грн<br/>GB10001";"Цена: 140грн";;"GB10001";;;"<h1>Цена: 140грн</h1><br/>";"Missing name;Missing colour;Missing price;"
"photo-13279251_275685082";"http://cs5984.vk.me/u17510826/150217032/x_46c6791b.jpg";"Цена: 130грн<br/>GB10002";"Цена: 130грн";;"GB10002";;;"<h1>Цена: 130грн</h1><br/>";"Missing name;Missing colour;Missing price;"
"photo-13279251_275685068";"http://cs5984.vk.me/u17510826/150217032/x_bf7f686f.jpg";"Цена: 120грн<br/>GB10003";"Цена: 120грн";;"GB10003";;;"<h1>Цена: 120грн</h1><br/>";"Missing name;Missing colour;Missing price;"
"photo-13279251_275685077";"http://cs5984.vk.me/u17510826/150217032/x_d2fd6cef.jpg";"Цена: 130грн<br/>Материал: серебро + латунь<br/>GB10004";"Цена: 130грн";;"GB10004";;;"<h1>Цена: 130грн</h1><br/><b>Материал:</b> серебро + латунь<br/>";"Missing name;Missing colour;Missing price;"
"photo-13279251_275685088";"http://cs5984.vk.me/u17510826/150217032/x_28bfbfb0.jpg";"Цена: 130грн<br/>GB10005";"Цена: 130грн";;"GB10005";;;"<h1>Цена: 130грн</h1><br/>";"Missing name;Missing colour;Missing price;"
"photo-13279251_275685085";"http://cs5984.vk.me/u17510826/150217032/x_746c2b14.jpg";"Цена: 130грн<br/>GB10006";"Цена: 130грн";;"GB10006";;;"<h1>Цена: 130грн</h1><br/>";"Missing name;Missing colour;Missing price;"
"photo-13279251_275685076";"http://cs5984.vk.me/u17510826/150217032/x_11d6cbfb.jpg";"Цена: 130грн<br/>GB10007";"Цена: 130грн";;"GB10007";;;"<h1>Цена: 130грн</h1><br/>";"Missing name;Missing colour;Missing price;"
"photo-13279251_275685081";"http://cs5984.vk.me/u17510826/150217032/x_e9b99006.jpg";"Цена: 120грн<br/>GB10008";"Цена: 120грн";;"GB10008";;;"<h1>Цена: 120грн</h1><br/>";"Missing name;Missing colour;Missing price;"
"photo-13279251_275685073";"http://cs5984.vk.me/u17510826/150217032/x_dbd58cdd.jpg";"Цена: 130грн<br/>GB10009";"Цена: 130грн";;"GB10009";;;"<h1>Цена: 130грн</h1><br/>";"Missing name;Missing colour;Missing price;"
"photo-13279251_275685072";"http://cs5984.vk.me/u17510826/150217032/x_62fd5e5b.jpg";"Цена: 120грн<br/>GB10010";"Цена: 120грн";;"GB10010";;;"<h1>Цена: 120грн</h1><br/>";"Missing name;Missing colour;Missing price;"
"photo-13279251_275685067";"http://cs5984.vk.me/u17510826/150217032/x_07b2c0f8.jpg";"Цена: 110грн<br/>GB10011";"Цена: 110грн";;"GB10011";;;"<h1>Цена: 110грн</h1><br/>";"Missing name;Missing colour;Missing price;"
"photo-13279251_275685069";"http://cs5984.vk.me/u17510826/150217032/x_fdff8853.jpg";"Цена: 130грн<br/>GB10012";"Цена: 130грн";;"GB10012";;;"<h1>Цена: 130грн</h1><br/>";"Missing name;Missing colour;Missing price;"
"photo-13279251_275685090";"http://cs5984.vk.me/u17510826/150217032/x_c02ed58e.jpg";"Цена: 140грн<br/>GB10013";"Цена: 140грн";;"GB10013";;;"<h1>Цена: 140грн</h1><br/>";"Missing name;Missing colour;Missing price;"
"photo-13279251_275685744";"http://cs5984.vk.me/u17510826/150217032/x_38934d39.jpg";"Цена: 110грн<br/>GB10014";"Цена: 110грн";;"GB10014";;;"<h1>Цена: 110грн</h1><br/>";"Missing name;Missing colour;Missing price;"
"photo-13279251_275685748";"http://cs5984.vk.me/u17510826/150217032/x_c6ee1d6c.jpg";"Цена: 120грн<br/>GB10015";"Цена: 120грн";;"GB10015";;;"<h1>Цена: 120грн</h1><br/>";"Missing name;Missing colour;Missing price;"
"photo-13279251_275685746";"http://cs5984.vk.me/u17510826/150217032/x_e92187e3.jpg";"Цена: 120грн<br/>GB10016";"Цена: 120грн";;"GB10016";;;"<h1>Цена: 120грн</h1><br/>";"Missing name;Missing colour;Missing price;"
"photo-13279251_275685772";"http://cs5984.vk.me/u17510826/150217032/x_bf9928ad.jpg";"Цена: 120грн<br/>GB10017<br/>";"Цена: 120грн";;"GB10017";;;"<h1>Цена: 120грн</h1><br/>";"Missing name;Missing colour;Missing price;"
"photo-13279251_275687099";"http://cs5984.vk.me/u17510826/150217032/x_d0c3dc3a.jpg";"Цена: 120грн<br/>GB10018";"Цена: 120грн";;"GB10018";;;"<h1>Цена: 120грн</h1><br/>";"Missing name;Missing colour;Missing price;"
"photo-13279251_275685757";"http://cs5984.vk.me/u17510826/150217032/x_f36dcf7f.jpg";"Цена: 110грн<br/>GB10019";"Цена: 110грн";;"GB10019";;;"<h1>Цена: 110грн</h1><br/>";"Missing name;Missing colour;Missing price;"
"photo-13279251_275685745";"http://cs5984.vk.me/u17510826/150217032/x_810ff2c2.jpg";"Цена: 120грн<br/>GB10020";"Цена: 120грн";;"GB10020";;;"<h1>Цена: 120грн</h1><br/>";"Missing name;Missing colour;Missing price;"
"photo-13279251_275685773";"http://cs5984.vk.me/u17510826/150217032/x_9528817c.jpg";"Цена: 130грн<br/>GB10021";"Цена: 130грн";;"GB10021";;;"<h1>Цена: 130грн</h1><br/>";"Missing name;Missing colour;Missing price;"
"photo-13279251_275685775";"http://cs5984.vk.me/u17510826/150217032/x_df1be331.jpg";"Цена: 130грн<br/>GB10022";"Цена: 130грн";;"GB10022";;;"<h1>Цена: 130грн</h1><br/>";"Missing name;Missing colour;Missing price;"
"photo-13279251_275685756";"http://cs5984.vk.me/u17510826/150217032/x_b572e690.jpg";"Цена: 130грн<br/>GB10023";"Цена: 130грн";;"GB10023";;;"<h1>Цена: 130грн</h1><br/>";"Missing name;Missing colour;Missing price;"
"photo-13279251_275685762";"http://cs5984.vk.me/u17510826/150217032/x_8e2d18ef.jpg";"Цена: 140грн<br/>GB10024";"Цена: 140грн";;"GB10024";;;"<h1>Цена: 140грн</h1><br/>";"Missing name;Missing colour;Missing price;"
"photo-13279251_275685759";"http://cs5984.vk.me/u17510826/150217032/x_f4f1a232.jpg";"Цена: 120грн<br/>GB10025";"Цена: 120грн";;"GB10025";;;"<h1>Цена: 120грн</h1><br/>";"Missing name;Missing colour;Missing price;"
"photo-13279251_275685760";"http://cs5984.vk.me/u17510826/150217032/x_9c4d08fb.jpg";"Цена: 130грн<br/>GB10026";"Цена: 130грн";;"GB10026";;;"<h1>Цена: 130грн</h1><br/>";"Missing name;Missing colour;Missing price;"
"photo-13279251_275685743";"http://cs5984.vk.me/u17510826/150217032/x_95d8d10c.jpg";"Цена: 120грн<br/>GB10027";"Цена: 120грн";;"GB10027";;;"<h1>Цена: 120грн</h1><br/>";"Missing name;Missing colour;Missing price;"
