"photo-13279251_327000931";"http://cs540103.vk.me/c540101/v540101826/15318/Aq3nPVZE58M.jpg";"Nike Roshe Run<br/>Цена: 815 грн.<br/>Размеры: 36-40<br/>Материал: текстиль<br/>Подошва: пена<br/>Сезон: весна, лето, осень<br/>NK30001<br/>Черный+Голубой";"Nike Roshe Run";815;"NK30001";" 36-40";"Черный+Голубой";"<h1>Nike Roshe Run</h1><br/><b>Материал:</b> текстиль<br/><b>Подошва:</b> пена<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_326999521";"http://cs540103.vk.me/c540101/v540101826/15238/ncKpMeKP_2Y.jpg";"Nike Roshe Run<br/>Цена: 815 грн.<br/>Размеры: 36-45<br/>Материал: текстиль<br/>Подошва: пена<br/>Сезон: весна, лето, осень<br/>NK30001<br/>Черный+Голубой";"Nike Roshe Run";815;"NK30001";" 36-45";"Черный+Голубой";"<h1>Nike Roshe Run</h1><br/><b>Материал:</b> текстиль<br/><b>Подошва:</b> пена<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_331464892";"http://cs540103.vk.me/c7006/v7006826/1093a/NhzauvacaCs.jpg";"Nike Roshe Run<br/>Цена: 815 грн.<br/>Размеры: 36-45<br/>Материал: текстиль<br/>Подошва: пена<br/>Сезон: весна, лето, осень<br/>NK30001<br/>Черный+Белый";"Nike Roshe Run";815;"NK30001";" 36-45";"Черный+Белый";"<h1>Nike Roshe Run</h1><br/><b>Материал:</b> текстиль<br/><b>Подошва:</b> пена<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_331464905";"http://cs540103.vk.me/c7006/v7006826/1094a/A6Rss7GF4Ic.jpg";"Nike Roshe Run<br/>Цена: 815 грн.<br/>Размеры: 36-45<br/>Материал: текстиль<br/>Подошва: пена<br/>Сезон: весна, лето, осень<br/>NK30001<br/>Черный+Белый";"Nike Roshe Run";815;"NK30001";" 36-45";"Черный+Белый";"<h1>Nike Roshe Run</h1><br/><b>Материал:</b> текстиль<br/><b>Подошва:</b> пена<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_331464909";"http://cs540103.vk.me/c7006/v7006826/10952/vxKTdgyvH-o.jpg";"Nike Roshe Run<br/>Цена: 815 грн.<br/>Размеры: 36-45<br/>Материал: текстиль<br/>Подошва: пена<br/>Сезон: весна, лето, осень<br/>NK30001<br/>Черный+Белый";"Nike Roshe Run";815;"NK30001";" 36-45";"Черный+Белый";"<h1>Nike Roshe Run</h1><br/><b>Материал:</b> текстиль<br/><b>Подошва:</b> пена<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_331464888";"http://cs540103.vk.me/c7006/v7006826/10932/oKbiiSxc2Sc.jpg";"Nike Roshe Run<br/>Цена: 815 грн.<br/>Размеры: 36-45<br/>Материал: текстиль<br/>Подошва: пена<br/>Сезон: весна, лето, осень<br/>NK30001<br/>Черный+Белый";"Nike Roshe Run";815;"NK30001";" 36-45";"Черный+Белый";"<h1>Nike Roshe Run</h1><br/><b>Материал:</b> текстиль<br/><b>Подошва:</b> пена<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_331464899";"http://cs540103.vk.me/c7006/v7006826/10942/T5Ep1I7SgY8.jpg";"Nike Roshe Run<br/>Цена: 815 грн.<br/>Размеры: 36-45<br/>Материал: текстиль<br/>Подошва: пена<br/>Сезон: весна, лето, осень<br/>NK30001<br/>Черный+Белый";"Nike Roshe Run";815;"NK30001";" 36-45";"Черный+Белый";"<h1>Nike Roshe Run</h1><br/><b>Материал:</b> текстиль<br/><b>Подошва:</b> пена<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_314981821";"http://cs425022.vk.me/v425022826/4d54/zK6hrgdWNKw.jpg";"Nike Roshe Run<br/>Цена: 815 грн.<br/>Размеры: 36-44<br/>Материал: текстиль<br/>Подошва: пена<br/>Сезон: весна, лето, осень<br/>NK30001<br/>Черный+Красный";"Nike Roshe Run";815;"NK30001";" 36-44";"Черный+Красный";"<h1>Nike Roshe Run</h1><br/><b>Материал:</b> текстиль<br/><b>Подошва:</b> пена<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_357621205";"http://cs540103.vk.me/c540101/v540101826/4912f/SuMDQR2AcGQ.jpg";"Nike Roshe Run<br/>Цена: 815 грн.<br/>Размеры: 36-44<br/>Материал: текстиль<br/>Подошва: пена<br/>Сезон: весна, лето, осень<br/>NK30001<br/>Полностью черный+Красный";"Nike Roshe Run";815;"NK30001";" 36-44";"Полностью черный+Красный";"<h1>Nike Roshe Run</h1><br/><b>Материал:</b> текстиль<br/><b>Подошва:</b> пена<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_357621204";"http://cs540103.vk.me/c540101/v540101826/49128/SFQEGwKGZqY.jpg";"Nike Roshe Run<br/>Цена: 815 грн.<br/>Размеры: 36-44<br/>Материал: текстиль<br/>Подошва: пена<br/>Сезон: весна, лето, осень<br/>NK30001<br/>Полностью черный+Красный";"Nike Roshe Run";815;"NK30001";" 36-44";"Полностью черный+Красный";"<h1>Nike Roshe Run</h1><br/><b>Материал:</b> текстиль<br/><b>Подошва:</b> пена<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_357621207";"http://cs540103.vk.me/c540101/v540101826/49136/I_8IPuDlAQw.jpg";"Nike Roshe Run<br/>Цена: 815 грн.<br/>Размеры: 36-44<br/>Материал: текстиль<br/>Подошва: пена<br/>Сезон: весна, лето, осень<br/>NK30001<br/>Полностью черный+Красный";"Nike Roshe Run";815;"NK30001";" 36-44";"Полностью черный+Красный";"<h1>Nike Roshe Run</h1><br/><b>Материал:</b> текстиль<br/><b>Подошва:</b> пена<br/><b>Сезон:</b> весна, лето, осень<br/>";""
